Oslo;Alufelger;PHET85Z840-13MB5S;20;2945;PH Edition II;Turbin 8,5";5;112;21;Matt Black (900 Kg);ET40;57,1;0
Oslo;Alufelger;PHETZ9842-13MB5S;20;2945;PH Edition II;Turbin 9";5;112;21;Matt Black (900 Kg);ET42;57,1;0
Tønsberg;MC dekk;MI532413;9;1416;Michelin;Enduro 2 Medium;90;90;21;Front TT (Motorsport only - NHS);54;R;16
Jæren;Sommerdekk;MNMV591;17;2288;Minerva;F205;265;40;20;EU:C-B-71dB(B);104;Y;20
Jæren;Sommerdekk;MNMV577;20;1922;Minerva;F205;255;35;20;EU:C-B-71dB(B);97;Y;20
Jæren;Sommerdekk;MNMV585;6;1877;Minerva;F205;235;50;19;EU:C-B-71dB(B);103;Y;20
Tønsberg;MC dekk;MI694117;1;2838;Michelin;Pilot Road 4;180;55;17;Rear TL;73;W;16
Bergen;Sommerdekk;WL6938112620202;20;1055;Westlake;ZuperEco Z-107;205;65;15;EU:C-B-71dB(B);94;V;20
Oslo;M+S;CO0345088;20;3470;Continental;VikingContact 7;235;60;18;EU:C-D-72dB(B);107;T;20
Trondheim;M+S Pigg;SV4200000575;12;1866;Sailun;Commercio Ice;205;75;16;EU:;110;R;20
Tønsberg;Sommerdekk;PI4205600;14;4755;Pirelli;P-Zero (PZ4) T0 Elect™ PNCS™;255;45;19;EU:A-A-70dB(A);104;Y;20
Kristiansand;Alufelger;PHET85S50-0G14S;20;2515;PH Edition II;Turbin 8,5";5;114;20;Gun Metal (900 Kg);ET50;67,1;0
Oslo;Sommerdekk;PI3259000;4;3066;Pirelli;P-Zero (PZ4) VOL;235;50;19;EU:B-A-70dB(B);99;V;20
Oslo;Sommerdekk;GO588344;20;4398;Goodyear;Eagle F1 (Asymmetric) 3 Suv;255;40;21;EU:C-A-70dB(A);102;Y;20
Oslo;M+S;YOR2793;8;2454;Yokohama;iceGUARD iG60;215;45;17;EU:D-E-71dB(B);87;Q;20
Oslo;M+S;YOR4080;2;4222;Yokohama;iceGUARD G075;275;55;20;EU:D-E-71dB(B);117;Q;20
Kristiansand;Alufelger;PHEA95NS45-0G10T;4;2395;PH Edition II;Avia 9.5";5;114;19;Gun Metal (820 Kg);ET45;64,11;0
Oslo;M+S;YOR2803;8;2069;Yokohama;iceGUARD iG60;195;50;16;EU:D-E-71dB(B);84;Q;20
Oslo;M+S;YOR4076;15;4222;Yokohama;iceGUARD G075;275;55;19;EU:D-E-71dB(B);111;Q;20
Trondheim;Sommerdekk;PI2592300;7;4966;Pirelli;Scorpion Verde MO;255;45;20;EU:B-B-71dB(B);101;W;20
